License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
3162309,"GROCERY CHAIN, WINE PROD",128,AX,3,Buffalo,ERIE,HENEL ENTERPRISES INCORPORATED,7 ELEVEN STORE #35181B,1787 LOVE RD,,GRAND ISLAND,NY,14072,,02/13/2019
3162312,RESTAURANT WINE,341,RW,3,Buffalo,ERIE,R JOHNSON INC,PEG'S PLACE ,4046 LAKE SHORE RD,,HAMBURG,NY,14075,798275,02/13/2019
3162314,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,BUFFALO BILLIARDS INC,CLASSIC CUE BILLIARDS,6061 TRANSIT RD,UNIT 6055,DEPEW,NY,14043,,02/13/2019
3162317,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,FIVE STAR LANES INC,,2426 SOUTH PARK AVE,,BUFFALO              ,NY,14220,,02/13/2019
3162319,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,TOMPKINS,JD PIGGERY LLC,THE PIGGERY,423 FRANKLIN ST,,ITHACA,NY,14850,,02/13/2019
3162321,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ONTARIO,COMISO LLC,BON AMI FRENCH BISTRO,215 S MAIN ST,,CANANDAIGUA,NY,14424,,02/13/2019
3162322,FARM WINERY,302,FW,3,Buffalo,WAYNE,SODUS BAY CIDER LLC,,6246 SHAKER TRACT RD,,NORTH ROSE,NY,14516,,02/13/2019
3162323,TAVERN WINE,344,TW,3,Buffalo,ERIE,BUFFALO COLLECTIVE LLC,,223 S PARK AVE,,BUFFALO              ,NY,14204,,02/13/2019
3162335,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CATTARAUGUS,ELLMAN MANAGEMENT COMPANY LLC,GRANNY VERONA'S,323 MAIN ST,,OLEAN,NY,14760,,02/14/2019
3162337,ON-PREMISES LIQUOR,252,OP,3,Buffalo,NIAGARA,BROWNIE'S SPORTSBAR & TAVERN LLC,,775 OLIVER ST,,NORTH TONAWANDA,NY,14120,,02/14/2019
3162342,"GROCERY BEER, WINE PROD",122,AX,3,Buffalo,ERIE,OMER A ANNISAFEE,DOAT EXPRESS,160 DOAT ST,,BUFFALO              ,NY,14211,,02/15/2019
3162345,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,TGI FRIDAYS INC,TGI FRIDAY'S,1209 NIAGARA FALLS BLVD,,AMHERST,NY,14226,,02/15/2019
3162347,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,TGI FRIDAYS INC,TGI FRIDAY'S,432 GREECE RIDGE CENTER DR,,ROCHESTER            ,NY,14626,,02/15/2019
3162349,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,TGI FRIDAYS INC,TGI FRIDAY'S,125 WHITE SPRUCE BLVD,,ROCHESTER            ,NY,14623,,02/15/2019
3162351,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ERIE,TGI FRIDAYS INC,TGI FRIDAY'S,1746 WALDEN AVE,,CHEEKTOWAGA,NY,14225,,02/15/2019
3162353,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHEMUNG,TGI FRIDAYS INC,TGI FRIDAY'S,830 COUNTY RTE 64,,ELMIRA,NY,14903,,02/15/2019
3162355,ON-PREMISES LIQUOR,252,OP,3,Buffalo,MONROE,RIOT ROOM ROCHESTER LLC,RIOT ROOM,350 EAST AVE,,ROCHESTER            ,NY,14604,,02/19/2019
3162357,RESTAURANT WINE,341,RW,3,Buffalo,ERIE,ROOT & BLOOM LLC,,423 ELMWOOD AVE ,"FLOOR 1, UNIT 1",BUFFALO,NY,14222,,02/19/2019
3162358,ON-PREMISES LIQUOR,252,OP,3,Buffalo,WAYNE,JIMMIE CLARK & SHATIER CLARK,MILL STREET TAVERN,7 MILL ST,,SODUS,NY,14551,,02/19/2019
3162360,LIQUOR STORE,222,L,3,Buffalo,MONROE,FREDDIE MOUZON INC,STONE RIDGE WINE & LIQUOR,1594 W RIDGE RD,STORE 30 T/O GREECE,ROCHESTER,NY,14615,,02/21/2019
3162363,"FARM DISTILLER ""D""",207,DD,3,Buffalo,CATTARAUGUS,STILLHOUSE OF BUFFALO LLC,STEELBOUND BREWERY & DISTILLERY,6600 RTE 219,,ELLICOTTVILLE,NY,14731,,02/22/2019
3162365,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,CHEMUNG,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #15843,3622 WATKINS RD,,PINE VALLEY,NY,14872,,02/22/2019
3162366,"GROCERY CHAIN, BEER ONLY",128,A,3,Buffalo,LIVINGSTON,DOLGEN NEW YORK LLC,DOLLAR GENERAL STORE #6217,27 OSSIAN ST,,DANSVILLE,NY,14437,,02/22/2019
